 0.100000001, 0.100000001, 0.100000001, 0.100000001, 0.100000001, 0.100000001, 
 0.200000003, 0.200000003, 0.200000003, 0.200000003, 0.200000003, 0.200000003, 
 0.300000012, 0.300000012, 0.300000012, 0.300000012, 0.300000012, 0.300000012, 
 0.400000006, 0.400000006, 0.400000006, 0.400000006, 0.400000006, 0.400000006, 
 0.500000000, 0.500000000, 0.500000000, 0.500000000, 0.500000000, 0.500000000, 
 0.600000024, 0.600000024, 0.600000024, 0.600000024, 0.600000024, 0.600000024, 
 0.699999988, 0.699999988, 0.699999988, 0.699999988, 0.699999988, 0.699999988, 
 0.800000012, 0.800000012, 0.800000012, 0.800000012, 0.800000012, 0.800000012, 
 0.900000036, 0.900000036, 0.900000036, 0.900000036, 0.900000036, 0.900000036, 
 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 
 1.10000002, 1.10000002, 1.10000002, 1.10000002, 1.10000002, 1.10000002, 
 1.20000005, 1.20000005, 1.20000005, 1.20000005, 1.20000005, 1.20000005, 
 1.30000007, 1.30000007, 1.30000007, 1.30000007, 1.30000007, 1.30000007, 
 1.39999998, 1.39999998, 1.39999998, 1.39999998, 1.39999998, 1.39999998, 
 1.50000000, 1.50000000, 1.50000000, 1.50000000, 1.50000000, 1.50000000, 
 1.60000002, 1.60000002, 1.60000002, 1.60000002, 1.60000002, 1.60000002, 
 1.70000005, 1.70000005, 1.70000005, 1.70000005, 1.70000005, 1.70000005, 
 1.80000007, 1.80000007, 1.80000007, 1.80000007, 1.80000007, 1.80000007, 
 1.89999998, 1.89999998, 1.89999998, 1.89999998, 1.89999998, 1.89999998, 
 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 
 2.10000014, 2.10000014, 2.10000014, 2.10000014, 2.10000014, 2.10000014, 
 2.20000005, 2.20000005, 2.20000005, 2.20000005, 2.20000005, 2.20000005, 
 2.29999995, 2.29999995, 2.29999995, 2.29999995, 2.29999995, 2.29999995, 
 2.40000010, 2.40000010, 2.40000010, 2.40000010, 2.40000010, 2.40000010, 
 2.50000000, 2.50000000, 2.50000000, 2.50000000, 2.50000000, 2.50000000, 
 2.60000014, 2.60000014, 2.60000014, 2.60000014, 2.60000014, 2.60000014, 
 2.70000005, 2.70000005, 2.70000005, 2.70000005, 2.70000005, 2.70000005, 
 2.79999995, 2.79999995, 2.79999995, 2.79999995, 2.79999995, 2.79999995, 
 2.90000010, 2.90000010, 2.90000010, 2.90000010, 2.90000010, 2.90000010, 
 3.00000000, 3.00000000, 3.00000000, 3.00000000, 3.00000000, 3.00000000, 
 3.10000014, 3.10000014, 3.10000014, 3.10000014, 3.10000014, 3.10000014, 
 3.20000005, 3.20000005, 3.20000005, 3.20000005, 3.20000005, 3.20000005, 
 3.29999995, 3.29999995, 3.29999995, 3.29999995, 3.29999995, 3.29999995, 
 3.40000010, 3.40000010, 3.40000010, 3.40000010, 3.40000010, 3.40000010, 
 3.50000000, 3.50000000, 3.50000000, 3.50000000, 3.50000000, 3.50000000, 
 3.60000014, 3.60000014, 3.60000014, 3.60000014, 3.60000014, 3.60000014, 
 3.70000005, 3.70000005, 3.70000005, 3.70000005, 3.70000005, 3.70000005, 
 3.79999995, 3.79999995, 3.79999995, 3.79999995, 3.79999995, 3.79999995, 
 3.90000010, 3.90000010, 3.90000010, 3.90000010, 3.90000010, 3.90000010, 
 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 
 4.09999990, 4.09999990, 4.09999990, 4.09999990, 4.09999990, 4.09999990, 
 4.20000029, 4.20000029, 4.20000029, 4.20000029, 4.20000029, 4.20000029, 
 4.30000019, 4.30000019, 4.30000019, 4.30000019, 4.30000019, 4.30000019, 
 4.40000010, 4.40000010, 4.40000010, 4.40000010, 4.40000010, 4.40000010, 
 4.50000000, 4.50000000, 4.50000000, 4.50000000, 4.50000000, 4.50000000, 
 4.59999990, 4.59999990, 4.59999990, 4.59999990, 4.59999990, 4.59999990, 
 4.70000029, 4.70000029, 4.70000029, 4.70000029, 4.70000029, 4.70000029, 
 4.80000019, 4.80000019, 4.80000019, 4.80000019, 4.80000019, 4.80000019, 
 4.90000010, 4.90000010, 4.90000010, 4.90000010, 4.90000010, 4.90000010, 
 5.00000000, 5.00000000, 5.00000000, 5.00000000, 5.00000000, 5.00000000, 
 5.09999990, 5.09999990, 5.09999990, 5.09999990, 5.09999990, 5.09999990, 
 5.20000029, 5.20000029, 5.20000029, 5.20000029, 5.20000029, 5.20000029, 
 5.30000019, 5.30000019, 5.30000019, 5.30000019, 5.30000019, 5.30000019, 
 5.40000010, 5.40000010, 5.40000010, 5.40000010, 5.40000010, 5.40000010, 
 5.50000000, 5.50000000, 5.50000000, 5.50000000, 5.50000000, 5.50000000, 
 5.59999990, 5.59999990, 5.59999990, 5.59999990, 5.59999990, 5.59999990, 
 5.70000029, 5.70000029, 5.70000029, 5.70000029, 5.70000029, 5.70000029, 
 5.80000019, 5.80000019, 5.80000019, 5.80000019, 5.80000019, 5.80000019, 
 5.90000010, 5.90000010, 5.90000010, 5.90000010, 5.90000010, 5.90000010, 
 6.00000000, 6.00000000, 6.00000000, 6.00000000, 6.00000000, 6.00000000, 
 6.09999990, 6.09999990, 6.09999990, 6.09999990, 6.09999990, 6.09999990, 
 6.20000029, 6.20000029, 6.20000029, 6.20000029, 6.20000029, 6.20000029, 
 6.30000019, 6.30000019, 6.30000019, 6.30000019, 6.30000019, 6.30000019, 
 6.40000010, 6.40000010, 6.40000010, 6.40000010, 6.40000010, 6.40000010, 
 6.50000000, 6.50000000, 6.50000000, 6.50000000, 6.50000000, 6.50000000, 
 6.59999990, 6.59999990, 6.59999990, 6.59999990, 6.59999990, 6.59999990, 
 6.70000029, 6.70000029, 6.70000029, 6.70000029, 6.70000029, 6.70000029, 
 6.80000019, 6.80000019, 6.80000019, 6.80000019, 6.80000019, 6.80000019, 
 6.90000010, 6.90000010, 6.90000010, 6.90000010, 6.90000010, 6.90000010, 
 7.00000000, 7.00000000, 7.00000000, 7.00000000, 7.00000000, 7.00000000, 
 7.09999990, 7.09999990, 7.09999990, 7.09999990, 7.09999990, 7.09999990, 
 7.20000029, 7.20000029, 7.20000029, 7.20000029, 7.20000029, 7.20000029, 
 7.30000019, 7.30000019, 7.30000019, 7.30000019, 7.30000019, 7.30000019, 
 7.40000010, 7.40000010, 7.40000010, 7.40000010, 7.40000010, 7.40000010, 
 7.50000000, 7.50000000, 7.50000000, 7.50000000, 7.50000000, 7.50000000, 
 7.59999990, 7.59999990, 7.59999990, 7.59999990, 7.59999990, 7.59999990, 
 7.70000029, 7.70000029, 7.70000029, 7.70000029, 7.70000029, 7.70000029, 
 7.80000019, 7.80000019, 7.80000019, 7.80000019, 7.80000019, 7.80000019, 
 7.90000010, 7.90000010, 7.90000010, 7.90000010, 7.90000010, 7.90000010, 
 8.00000000, 8.00000000, 8.00000000, 8.00000000, 8.00000000, 8.00000000, 
 8.10000038, 8.10000038, 8.10000038, 8.10000038, 8.10000038, 8.10000038, 
 8.19999981, 8.19999981, 8.19999981, 8.19999981, 8.19999981, 8.19999981, 
 8.30000019, 8.30000019, 8.30000019, 8.30000019, 8.30000019, 8.30000019, 
 8.40000057, 8.40000057, 8.40000057, 8.40000057, 8.40000057, 8.40000057, 
 8.50000000, 8.50000000, 8.50000000, 8.50000000, 8.50000000, 8.50000000, 
 8.60000038, 8.60000038, 8.60000038, 8.60000038, 8.60000038, 8.60000038, 
 8.69999981, 8.69999981, 8.69999981, 8.69999981, 8.69999981, 8.69999981, 
 8.80000019, 8.80000019, 8.80000019, 8.80000019, 8.80000019, 8.80000019, 
 8.90000057, 8.90000057, 8.90000057, 8.90000057, 8.90000057, 8.90000057, 
 9.00000000, 9.00000000, 9.00000000, 9.00000000, 9.00000000, 9.00000000, 
 9.10000038, 9.10000038, 9.10000038, 9.10000038, 9.10000038, 9.10000038, 
 9.19999981, 9.19999981, 9.19999981, 9.19999981, 9.19999981, 9.19999981, 
 9.30000019, 9.30000019, 9.30000019, 9.30000019, 9.30000019, 9.30000019, 
 9.40000057, 9.40000057, 9.40000057, 9.40000057, 9.40000057, 9.40000057, 
 9.50000000, 9.50000000, 9.50000000, 9.50000000, 9.50000000, 9.50000000, 
 9.60000038, 9.60000038, 9.60000038, 9.60000038, 9.60000038, 9.60000038, 
 9.69999981, 9.69999981, 9.69999981, 9.69999981, 9.69999981, 9.69999981, 
 9.80000019, 9.80000019, 9.80000019, 9.80000019, 9.80000019, 9.80000019, 
 9.90000057, 9.90000057, 9.90000057, 9.90000057, 9.90000057, 9.90000057, 
 10.0000000, 10.0000000, 10.0000000, 10.0000000, 10.0000000, 10.0000000, 
